"54";"adenovirus vaccine, type 4, live, oral";
"55";"adenovirus vaccine, type 7, live, oral";
"82";"adenovirus vaccine, unspecified formulation";
"24";"anthrax vaccine";
"19";"Bacillus Calmette-Guerin vaccine";
"27";"botulinum antitoxin";
"26";"cholera vaccine, unspecified formulation";
"29";"cytomegalovirus immune globulin, intravenous";
"56";"dengue fever vaccine";
"12";"diphtheria antitoxin";
"28";"diphtheria and tetanus toxoids, adsorbed for pediatric use";
"20";"diphtheria, tetanus toxoids and acellular pertussis vaccine";
"106";"diphtheria, tetanus toxoids and acellular pertussis vaccine, 5 pertussis antigens";
"107";"diphtheria, tetanus toxoids and acellular pertussis vaccine, unspecified formulation";
"110";"DTaP-hepatitis B and poliovirus vaccine";
"50";"DTaP-Haemophilus influenzae type b conjugate vaccine";
"120";"diphtheria, tetanus toxoids and acellular pertussis vaccine, Haemophilus influenzae type b conjugate, and poliovirus vaccine, inactivated (DTaP-Hib-IPV)";
"130";"Diphtheria, tetanus toxoids and acellular pertussis vaccine, and poliovirus vaccine, inactivated";
"01";"diphtheria, tetanus toxoids and pertussis vaccine";
"22";"DTP-Haemophilus influenzae type b conjugate vaccine";
"102";"DTP- Haemophilus influenzae type b conjugate and hepatitis b vaccine";
"57";"hantavirus vaccine";
"52";"hepatitis A vaccine, adult dosage";
"83";"hepatitis A vaccine, pediatric/adolescent dosage, 2 dose schedule";
"84";"hepatitis A vaccine, pediatric/adolescent dosage, 3 dose schedule";
"31";"hepatitis A vaccine, pediatric dosage, unspecified formulation";
"85";"hepatitis A vaccine, unspecified formulation";
"104";"hepatitis A and hepatitis B vaccine";
"30";"hepatitis B immune globulin";
"08";"hepatitis B vaccine, pediatric or pediatric/adolescent dosage";
"42";"hepatitis B vaccine, adolescent/high risk infant dosage";
"43";"hepatitis B vaccine, adult dosage";
"44";"hepatitis B vaccine, dialysis patient dosage";
"45";"hepatitis B vaccine, unspecified formulation";
"58";"hepatitis C vaccine";
"59";"hepatitis E vaccine";
"60";"herpes simplex virus, type 2 vaccine";
"46";"Haemophilus influenzae type b vaccine, PRP-D conjugate";
"47";"Haemophilus influenzae type b vaccine, HbOC conjugate";
